epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.76713,2.31771,4.3355,2.50301,0,0,0,0,2.71023,3.87329,3.32887,2.331e-05,2.331e-05,2.331e-05
2,8.41014,2.3375,4.29295,2.6162,0,0,0,0,2.46851,3.91578,2.98559,4.8961e-05,4.8961e-05,4.8961e-05
3,10.8539,2.12498,4.20021,2.33693,0,0,0,0,2.29561,3.92042,2.82522,7.3557e-05,7.3557e-05,7.3557e-05
4,13.3553,2.013,4.17845,2.25534,0,0,0,0,2.1454,3.9183,2.66786,9.70981e-05,9.70981e-05,9.70981e-05
5,16.063,1.83291,4.08764,2.07068,0,0,0,0,2.04428,3.89671,2.51661,0.000119584,0.000119584,0.000119584
6,19.8004,1.73599,3.95684,2.00045,0.175,0.11515,0.09246,0.03087,1.93972,3.88785,2.42167,0.000141016,0.000141016,0.000141016
7,22.7125,1.71742,3.84115,1.96943,0.09198,0.24318,0.20117,0.06161,1.93933,3.80896,2.41286,0.000161392,0.000161392,0.000161392
8,25.2158,1.66663,3.65756,1.91185,0.09487,0.29621,0.24129,0.07319,1.94438,3.66458,2.40514,0.000180713,0.000180713,0.000180713
9,27.5094,1.77058,3.55268,1.98264,0.07301,0.38692,0.26968,0.08744,2.01254,3.44181,2.38692,0.000198979,0.000198979,0.000198979
10,29.958,1.75292,3.65314,1.94538,0.05052,0.4168,0.28838,0.1077,1.91729,3.20569,2.29042,0.000216191,0.000216191,0.000216191
11,33.3268,1.7375,3.21881,2.02091,0.6592,0.14997,0.32568,0.12995,1.91649,2.87812,2.28047,0.000232347,0.000232347,0.000232347
12,36.9804,1.61817,3.04881,1.9247,0.76979,0.16004,0.21878,0.10896,1.89526,2.71744,2.29166,0.000247449,0.000247449,0.000247449
13,39.4781,1.53306,2.89455,1.81502,0.76946,0.22586,0.25125,0.12741,1.94997,2.65516,2.38318,0.000253879,0.000253879,0.000253879
14,41.904,1.63082,2.6704,1.86024,0.86396,0.16209,0.24784,0.14078,1.98231,2.7403,2.43825,0.000247286,0.000247286,0.000247286
15,44.373,1.50461,2.68304,1.81702,0.80032,0.17799,0.23364,0.11766,2.02826,2.76415,2.51322,0.000240692,0.000240692,0.000240692
16,46.736,1.55134,2.51323,1.78741,0.69737,0.19931,0.24745,0.12112,2.0275,2.79007,2.50514,0.000234099,0.000234099,0.000234099
